12281|2
36959|2
22772|2
167727|2
16098|2
39217|2
169183|1
27071|2
36947|2
165511|1
161529|1
146721|2
232342|3
21492|2
6187|2
236381|1
57278|2
42123|3
151661|1
24210|2
15616|2
23565|2
234906|2
146267|2
41397|1
141898|2
164014|1
39403|2
152210|3
153835|1
165814|1
177806|1
37240|3
221129|1
150547|1
19769|3
148171|2
30643|2
16956|2
67728|2
151559|1
6241|2
11786|2
175765|2
29547|2
152254|2
21712|2
35437|3
38697|2
145353|2
40349|2
34013|2
37226|2
37511|3
42295|3
161852|2
170323|2
143073|1
8554|2
150166|1
156428|2
3180|2
177577|1
27447|3
9540|2
157960|1
167788|2
27957|3
15891|2
228705|2
145153|2
6554|2
30546|2
156252|2
157406|1
11825|2
65480|2
7418|2
173532|3
7683|2
165730|2
13977|2
177529|1
31005|2
81489|2
40591|2
163116|2
228095|1
148436|2
174731|2
173376|2
175491|2
150946|2
32851|2
20513|2
39398|2
28402|3
21187|2
143019|3
13502|3
20679|3
41052|2
1117|2
30503|3
177098|2
152909|2
173721|2
31316|3
153912|2
27768|3
22786|2
208657|2
27181|2
619|2
17071|3
178462|2
42327|2
34379|2
7138|2
151842|2
17181|2
25214|2
108248|2
2585|1
52258|3
30993|3
35921|3
178027|1
157054|2
26705|3
151805|3
34381|3
109511|2
30027|3
68289|2
41134|2
18063|3
32668|1
165568|1
155294|1
40970|2
140956|2
23752|2
25118|2
43013|2
29122|2
176837|2
178206|3
148767|2
169150|2
18646|2
88933|2
28100|3
21106|2
142571|1
27270|2
233389|2
18269|3
228911|1
145052|1
19683|2
167439|3
171381|1
18218|2
29185|2
158728|1
148182|3
171955|2
161145|1
38403|2
33203|2
150549|2
142001|1
24114|3
172636|2
164368|2
154278|2
36666|2
21620|2
37039|2
23815|2
39625|2
28169|3
174972|2
15779|3
17180|2
42006|2
222617|2
99184|2
33540|3
2409|2
169949|2
50992|2
176307|2
146489|2
142933|2
178422|2
161227|2
21038|1
42141|2
36352|2
148158|2
15913|2
20574|3
31468|2
160363|2
14317|2
134946|2
38155|2
33444|2
37560|2
20507|2
5000|2
174857|2
39527|3
177148|2
41972|2
161682|2
21975|3
131817|2
40063|2
10910|3
147008|2
2370|2
172009|1
169626|2
18642|2
178242|2
34107|2
171366|2
17287|3
141055|1
158292|2
174548|2
36842|2
157535|1
73196|2
25265|2
13798|2
42199|2
40235|2
231601|1
19451|2
19404|2
26556|2
154794|2
31525|2
171693|2
152245|1
13423|2
158752|1
173054|1
239147|3
25459|3
175240|1
172294|2
166999|2
30926|1
144217|3
38040|2
171900|2
153085|2
